id,booking_status,probability
42100,0,0.05683017
42101,0,0.03763754
42102,0,0.4256256
42103,0,0.17205665
42104,1,0.59688276
42105,1,0.63998836
42106,0,0.45029077
42107,1,0.7821747
42108,0,5.733336e-08
42109,1,0.5600438
42110,1,0.69665813
42111,0,0.21040812
42112,0,0.4226598
42113,0,0.15298422
42114,0,0.26180345
42115,1,0.7177746
42116,0,0.06300622
42117,0,0.23799187
42118,1,0.9159049
42119,1,0.8919628
42120,1,0.91942185
42121,0,0.2218642
42122,0,0.00426539
42123,1,0.63974726
42124,1,0.8729994
42125,0,0.0061982605
42126,0,1.2610453e-23
42127,0,0.010623278
42128,0,0.27629188
42129,1,0.66279954
42130,1,0.88709086
42131,0,0.33827916
42132,0,0.4611572
42133,1,0.959313
42134,0,0.46562403
42135,0,2.0522182e-12
42136,0,0.032020967
42137,1,0.5627578
42138,1,0.5553419
42139,1,0.86105865
42140,0,0.0033697658
42141,0,0.2173784
42142,1,0.61527354
42143,1,0.8602478
42144,0,0.06764239
42145,1,0.8229073
42146,0,0.058450904
42147,1,0.8811141
42148,1,0.6025291
42149,1,0.52278966
42150,0,0.30835336
42151,1,0.78627926
42152,1,0.74600565
42153,0,0.14307389
42154,1,0.5406342
42155,0,0.43546626
42156,0,0.3425636
42157,0,0.010353596
42158,0,0.28882855
42159,1,0.8414801
42160,1,0.59638125
42161,0,5.0674585e-06
42162,0,0.06370193
42163,0,0.033854365
42164,1,0.74647576
42165,0,0.4911487
42166,1,0.7352475
42167,0,2.9891343e-08
42168,1,0.708126
42169,1,0.77933013
42170,0,0.019625697
42171,0,0.29411885
42172,0,0.18669705
42173,1,0.8186532
42174,0,0.09541978
42175,0,0.32326204
42176,1,0.9260144
42177,0,0.19032131
42178,0,0.034846872
42179,1,0.9027516
42180,1,0.6976283
42181,1,0.607135
42182,1,0.81010616
42183,0,0.30212182
42184,0,0.03545241
42185,0,0.1313253
42186,0,0.16517998
42187,0,0.34233433
42188,0,0.010940067
42189,0,0.16397832
42190,0,0.1638693
42191,0,0.24000888
42192,0,0.23386118
42193,0,0.17116363
42194,0,0.32949394
42195,1,0.921444
42196,1,0.85480374
42197,0,0.47488362
42198,1,0.697456
42199,1,0.6049429
42200,1,0.501188
42201,1,0.5693613
42202,0,0.3407439
42203,0,0.35343435
42204,1,0.8099874
42205,0,0.1634203
42206,0,0.010608859
42207,1,0.7087844
42208,0,0.058238283
42209,0,0.16393606
42210,0,0.13000412
42211,0,0.20731033
42212,0,0.29692438
42213,1,0.8507722
42214,1,0.7870671
42215,0,0.22403882
42216,1,0.792355
42217,0,0.15266132
42218,0,0.016468817
42219,0,0.1323436
42220,0,0.28124925
42221,1,0.74344975
42222,0,0.48505342
42223,0,0.14068994
42224,1,0.9357725
42225,1,0.7263229
42226,1,0.88430303
42227,0,0.053123802
42228,1,0.6509962
42229,0,0.08390873
42230,0,0.20302531
42231,1,0.7287868
42232,1,0.8241483
42233,0,0.13985735
42234,0,0.48622864
42235,0,0.09732172
42236,0,0.049403757
42237,1,0.84028196
42238,0,0.39056936
42239,0,0.27515873
42240,1,0.93844324
42241,1,0.6579096
42242,0,0.12606567
42243,1,0.9258664
42244,0,0.1324538
42245,1,0.6240318
42246,1,0.9125994
42247,1,0.8029496
42248,1,0.5684208
42249,1,0.886467
42250,0,0.42567497
42251,0,0.22675659
42252,1,0.8275768
42253,1,0.66107416
42254,0,0.03779039
42255,0,0.09845422
42256,1,0.7309147
42257,1,0.742
42258,0,0.33874276
42259,1,0.6681653
42260,1,0.78358245
42261,1,0.79309726
42262,1,0.89194226
42263,1,0.94494987
42264,0,0.085401714
42265,1,0.81130284
42266,0,0.027868388
42267,0,0.20809609
42268,1,0.7256237
42269,0,0.103582144
42270,1,0.8661297
42271,1,0.8125374
42272,0,0.07971393
42273,0,0.10018234
42274,1,0.7546053
42275,0,0.40474427
42276,0,0.07985979
42277,0,0.06320005
42278,0,0.06289483
42279,0,0.35239962
42280,0,0.35046276
42281,0,0.00639395
42282,0,0.3898003
42283,0,0.19428459
42284,0,0.4970126
42285,0,0.06157664
42286,0,0.01692674
42287,1,0.72384924
42288,0,0.24321085
42289,1,0.7770266
42290,0,0.023255946
42291,1,0.89557934
42292,0,0.25122884
42293,1,0.83505553
42294,1,0.9658707
42295,0,0.089788035
42296,0,0.10524281
42297,0,0.24692827
42298,0,0.06864846
42299,1,0.8322738
